id,month,days,region,cc,condition,t1,t2,t3,r1,r2,V,code,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,c1,c2,max_g,age_range,livability,source,grades,w1,w2,version,label
0cbd7d6d33a14d47,M2,3341.36110000,fafc,1149.56000000,1.20256100,0,1,4.47M,0,0,9.89290000,D,-0.01658298,-0.07742938,-0.01521195,0.02113431,0.04150402,-0.07722476,-0.00809846,0.00920854,-0.04952418,-0.04961541,-0.06683156,-0.07579721,0.02196733,-0.13291113,-0.03838934,-0.03747478,0.01431585,0.03957378,-0.83055372,97.81210000,0.44000000,1,1,1500512.12000000,3,0.10251572,CAR_7|ENG_966,s,0,1,v3,0
a86263f4fc90b578,M1,9902.91650000,fa70,1481.81000000,1.13780800,1,0,5.34P,1,1,12.58390000,C,0.04791580,0.03285201,-0.02840780,0.03997302,0.00091656,0.04694777,0.00391808,-0.00062348,0.00868408,0.09533663,0.03706254,0.06023119,-0.00236407,0.08280523,-0.03510810,-0.00130486,0.01330452,0.05790887,-2.33450812,158.25640000,1.32000000,0,0,1717561.70000000,5,0.47171179,CAR_0|ENG_709,sss,0,1,v1,0
3cf37416a32d120a,M2,7180.05240000,fafc,1239.68000000,0.39167600,0,1,4.7E,0,0,10.20740000,B,0.00353434,0.04972288,0.03489531,0.02258738,0.03882354,0.03107193,0.00960562,-0.04978456,-0.00534435,0.02103097,0.03532071,0.05989093,0.02447733,0.03770792,0.02627990,0.02438640,-0.04332279,0.06456405,-0.31122360,104.24410000,0.36000000,1,1,1343335.19000000,1,0.10251572,CAR_2|ENG_262,ss,0,1,v1,0
0403673f103589d0,M1,10863.36860000,2a36,1523.13000000,1.27913400,1,0,5.11P,1,1,12.58510000,C,0.06066993,0.11188842,-0.02537456,0.02983978,0.05989910,0.10361342,0.05639393,0.00313162,0.07355280,0.02359372,0.01529629,0.05642181,0.02710453,0.04093738,-0.08138523,0.04001704,0.00559114,0.06240396,-2.15351360,158.50810000,1.44000000,0,0,1725826.81000000,3,0.23945857,CAR_0|ENG_709,sss,0,1,v2,0
774ae27154ab1920,M1,7937.70690000,9685,1451.03000000,1.50703200,1,0,5.34P,1,1,12.58350000,C,0.09230189,0.09122655,-0.02847817,-0.02265532,0.04780248,0.02611164,-0.02671473,0.02839554,0.03153164,0.02480709,0.03764533,0.04319208,-0.04200199,0.01356815,-0.04444486,0.06875025,0.00833830,0.06520076,-1.98835075,158.25640000,1.80000000,0,0,1711406.49000000,2,0.36523106,CAR_0|ENG_709,sss,0,1,v1,0
95561261bf123576,M2,10536.74440000,f09d,977.81000000,0.02880600,0,1,4.7P,0,0,9.91650000,B,0.01715397,-0.15387103,-0.04594691,0.02263103,-0.04785320,-0.10036485,0.02398479,0.00823453,0.01808154,-0.05679697,-0.00907505,-0.01464535,0.03375875,-0.09951126,-0.09140524,0.00449707,0.04883723,0.04343175,0.79060698,98.40640000,-1.00000000,1,0,1335761.25000000,1,0.11627017,CAR_5|ENG_062,ss,1,0,v3,0
8dbc045223f9bd8e,M1,1229.42700000,f09d,1529.77000000,1.58576600,1,0,5.08P,1,1,12.58560000,C,0.01391538,0.09954327,-0.00478904,0.03062599,0.02293611,0.09653139,0.01009403,-0.00555744,0.02602908,0.06674392,0.07546078,0.05642939,-0.00834595,0.02216503,-0.04658278,0.05279256,-0.00241766,0.07547012,2.59868118,158.50810000,-0.20000000,0,0,1727153.16000000,4,0.11627017,CAR_0|ENG_709,sss,0,1,v2,0
c8863673c110742e,M2,579.03150000,90fc,807.49000000,0.06049500,0,0,4.5P,0,0,7.69840000,A,-0.01154990,-0.10714173,0.03750849,0.04609976,-0.04002453,-0.06371699,-0.00249130,-0.03393504,-0.05860662,-0.05580221,-0.12094946,-0.04771461,-0.00621408,-0.08715455,-0.01605405,-0.07902302,-0.04190058,0.03573322,-0.09903367,59.29000000,0.00000000,1,1,1187098.99000000,5,0.17447361,CAR_1|ENG_591,ss,1,0,v3,0
61ce6366562952c4,M1,8820.36120000,f09d,1446.65000000,1.10265200,1,0,5.21P,1,1,12.58360000,C,0.07057272,0.07794592,0.00876278,-0.02008215,0.03274371,0.08538413,0.02252454,0.01692492,0.03332224,0.06961131,0.06324177,0.00883790,0.02878948,0.05675553,-0.07557046,-0.01512405,0.00445672,0.05694646,-1.31195176,158.25640000,1.32000000,0,0,1710530.42000000,6,0.11627017,CAR_0|ENG_709,sss,0,1,v9,1
b2f398d8ceaf3dca,M2,72.80850000,8a21,778.47000000,0.13147100,0,1,4.6P,0,0,7.69820000,A,-0.04432021,-0.14458043,0.00465613,-0.00245073,0.01697426,-0.13649544,-0.00806272,-0.05081245,0.02945911,-0.05373229,-0.07684728,-0.11009110,0.03215977,-0.05586958,0.00163640,-0.10040215,-0.01990965,0.04158035,0.90518843,59.29000000,1.12000000,1,1,1181294.24000000,1,0.05176374,CAR_1|ENG_591,ss,1,0,v4,0
